Wavelength(nm)	Intensity
834.367	638.68
834.401	664.68
834.434	642.48
834.468	655.18
834.502	635.18
834.536	628.58
834.57	647.38
834.604	672.98
834.638	676.88
834.671	622.08
834.705	630.38
834.739	630.78
834.773	627.28
834.806	626.68
834.84	664.78
834.874	610.08
834.908	630.68
834.941	583.68
834.975	663.18
835.009	624.38
835.042	605.78
835.076	650.28
835.11	584.18
835.144	623.18
835.177	590.88
835.211	615.08
835.244	616.18
835.278	597.28
835.312	633.28
835.345	606.58
835.379	601.78
835.412	619.68
835.446	618.28
835.48	606.98
835.513	600.28
835.547	619.48
835.58	636.48
835.614	594.78
835.647	588.08
835.681	605.78
835.714	603.78
835.748	579.38
835.781	612.38
835.815	611.18
835.848	601.08
835.882	613.68
835.915	630.58
835.948	604.48
835.982	623.08
836.015	642.58
836.049	586.38
836.082	628.18
836.115	628.58
836.149	593.68
836.182	631.18
836.216	598.28
836.249	594.18
836.282	598.38
836.316	632.38
836.349	622.38
836.382	604.38
836.415	619.58
836.449	607.68
836.482	591.78
836.515	601.28
836.548	617.28
836.582	627.48
836.615	599.98
836.648	603.38
836.681	624.58
836.715	600.28
836.748	559.88
836.781	599.78
836.814	623.88
836.847	638.18
836.88	596.38
